run_id,timestamp_utc,provider,model,llm_model,experiment_name,experiment_id,sampling_surface,requested_sampling_profile,effective_sampling_profile,requested_sampling_json,effective_sampling_json,unsupported_sampling_json,google_thinking_mode,prompt_version,certificate_version,project_folder,surface,cases_file,case_selector,hypothesis,cases_path,result_file,chain_result_file,import_catalog_file,raw_dir,cases_total,pass_count,false_refusal_count,false_accept_count,request_failure_count,schema_failure_count,parse_failure_count,kernel_failure_count,format_failure_count,avg_latency_ms,max_latency_ms,run_elapsed_seconds,category_count
20260403T152413+0300_compositional-mixed-family-gold-first-main-gpt-oss-20b-r01,2026-04-03T12:25:28Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,compositional-mixed-family-gold-first-v1,compositional-mixed-family-gold-first-v1-temp0-seed42-topp1-r01-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/compositional-mixed-family-gold-first-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/compositional-mixed-family-gold-first-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_a838dea3bcaa.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_a838dea3bcaa.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_a838dea3bcaa.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_a838dea3bcaa,6,5,0,0,0,1,0,0,0,11846.17,37402,71,1
20260403T152413+0300_compositional-mixed-family-gold-first-main-gpt-oss-20b-r02,2026-04-03T12:26:23Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,compositional-mixed-family-gold-first-v1,compositional-mixed-family-gold-first-v1-temp0-seed42-topp1-r02-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/compositional-mixed-family-gold-first-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/compositional-mixed-family-gold-first-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_02d027dd9b9a.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_02d027dd9b9a.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_02d027dd9b9a.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_02d027dd9b9a,6,4,0,0,0,2,0,0,0,9032.50,20760,54,1
20260403T152413+0300_compositional-mixed-family-gold-first-main-gpt-oss-20b-r03,2026-04-03T12:27:18Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,compositional-mixed-family-gold-first-v1,compositional-mixed-family-gold-first-v1-temp0-seed42-topp1-r03-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/compositional-mixed-family-gold-first-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/compositional-mixed-family-gold-first-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_ceb5c4436d04.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_ceb5c4436d04.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_ceb5c4436d04.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_ceb5c4436d04,6,4,0,0,0,2,0,0,0,9012.17,20727,54,1
20260403T152413+0300_compositional-mixed-family-gold-first-main-gpt-oss-20b-r04,2026-04-03T12:28:13Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,compositional-mixed-family-gold-first-v1,compositional-mixed-family-gold-first-v1-temp0-seed42-topp1-r04-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/compositional-mixed-family-gold-first-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/compositional-mixed-family-gold-first-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_678534466901.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_678534466901.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_678534466901.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_678534466901,6,4,0,0,0,2,0,0,0,9038.83,20766,54,1
20260403T152413+0300_compositional-mixed-family-gold-first-main-gpt-oss-20b-r05,2026-04-03T12:29:09Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,compositional-mixed-family-gold-first-v1,compositional-mixed-family-gold-first-v1-temp0-seed42-topp1-r05-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/compositional-mixed-family-gold-first-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/compositional-mixed-family-gold-first-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_055abbf28fa2.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_055abbf28fa2.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_055abbf28fa2.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_055abbf28fa2,6,4,0,0,0,2,0,0,0,9108.00,21206,54,1
20260403T152413+0300_compositional-mixed-family-gold-first-main-gpt-oss-120b-cloud-r01,2026-04-03T12:29:58Z,compatible,compatible:gpt-oss:120b-cloud,gpt-oss:120b-cloud,compositional-mixed-family-gold-first-v1,compositional-mixed-family-gold-first-v1-temp0-seed42-topp1-r01-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/compositional-mixed-family-gold-first-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/compositional-mixed-family-gold-first-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_fd146f527f8b.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_fd146f527f8b.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_fd146f527f8b.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_fd146f527f8b,6,6,0,0,0,0,0,0,0,8016.17,17829,48,1
20260403T152413+0300_compositional-mixed-family-gold-first-main-gpt-oss-120b-cloud-r02,2026-04-03T12:30:48Z,compatible,compatible:gpt-oss:120b-cloud,gpt-oss:120b-cloud,compositional-mixed-family-gold-first-v1,compositional-mixed-family-gold-first-v1-temp0-seed42-topp1-r02-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/compositional-mixed-family-gold-first-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/compositional-mixed-family-gold-first-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_06c8a9d4aa7b.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_06c8a9d4aa7b.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_06c8a9d4aa7b.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_06c8a9d4aa7b,6,6,0,0,0,0,0,0,0,8304.83,18014,49,1
20260403T152413+0300_compositional-mixed-family-gold-first-main-gpt-oss-120b-cloud-r03,2026-04-03T12:31:39Z,compatible,compatible:gpt-oss:120b-cloud,gpt-oss:120b-cloud,compositional-mixed-family-gold-first-v1,compositional-mixed-family-gold-first-v1-temp0-seed42-topp1-r03-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/compositional-mixed-family-gold-first-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/compositional-mixed-family-gold-first-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_43782ac0dfae.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_43782ac0dfae.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_43782ac0dfae.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_43782ac0dfae,6,4,0,0,0,1,0,1,0,8271.33,18020,49,1
20260403T152413+0300_compositional-mixed-family-gold-first-main-gpt-oss-120b-cloud-r04,2026-04-03T12:32:22Z,compatible,compatible:gpt-oss:120b-cloud,gpt-oss:120b-cloud,compositional-mixed-family-gold-first-v1,compositional-mixed-family-gold-first-v1-temp0-seed42-topp1-r04-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/compositional-mixed-family-gold-first-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/compositional-mixed-family-gold-first-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_f64935396b4c.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_f64935396b4c.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_f64935396b4c.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_f64935396b4c,6,6,0,0,0,0,0,0,0,7030.83,13750,42,1
20260403T152413+0300_compositional-mixed-family-gold-first-main-gpt-oss-120b-cloud-r05,2026-04-03T12:33:09Z,compatible,compatible:gpt-oss:120b-cloud,gpt-oss:120b-cloud,compositional-mixed-family-gold-first-v1,compositional-mixed-family-gold-first-v1-temp0-seed42-topp1-r05-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/compositional-mixed-family-gold-first-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/compositional-mixed-family-gold-first-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_a663f55caa14.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_a663f55caa14.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_a663f55caa14.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_a663f55caa14,6,6,0,0,0,0,0,0,0,7737.50,19725,46,1
