analysis_scope,llm_model,label_scope,axis_name,axis_value,source_summary_runs,total_cases,pass_count,pass_rate,failure_count,dominant_failure_type
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,bridge_depth,0,20260403T204508+0300,50,50,1.000,0,pass_only
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,bridge_depth,1,20260403T204508+0300,100,100,1.000,0,pass_only
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,bridge_depth,2,20260403T204508+0300,100,71,0.710,29,false_refusal
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,import_arity,1,20260403T204508+0300,150,150,1.000,0,pass_only
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,import_arity,2,20260403T204508+0300,100,71,0.710,29,false_refusal
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,reuse_shape,adversarial_gold_reuse,20260403T204508+0300,50,21,0.420,29,false_refusal
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,reuse_shape,bridge_depth_ge_1,20260403T204508+0300,50,50,1.000,0,pass_only
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,reuse_shape,one_import_linear,20260403T204508+0300,50,50,1.000,0,pass_only
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,reuse_shape,one_import_symbol_remap,20260403T204508+0300,50,50,1.000,0,pass_only
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,reuse_shape,two_import_merge,20260403T204508+0300,50,50,1.000,0,pass_only
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,symbol_overlap,high,20260403T204508+0300,50,50,1.000,0,pass_only
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,symbol_overlap,low,20260403T204508+0300,100,71,0.710,29,false_refusal
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,symbol_overlap,medium,20260403T204508+0300,100,100,1.000,0,pass_only
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,transition_group,GF-MF-A,20260403T204508+0300,50,50,1.000,0,pass_only
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,transition_group,GF-MF-B,20260403T204508+0300,50,50,1.000,0,pass_only
reasoning-valid-runs,deepseek-v3.1:671b-cloud,fg,transition_group,GF-MF-C,20260403T204508+0300,50,50,1.000,0,pass_only
