theorem_pack_id,theorem_id,case_id,generation_mode,category,derivability_status,interesting,minimal,difficulty,assumptions_json,goal,logic_fragment,lean_statement,comment
enumerator_20260327t113346z,LEANE01,LEANE01,enumerator,theorem_synthesis,derivable,true,true,easy,[],P -> P,implicational-prop-v1,P -> P,Mode A enumerator case: status=derivable assumptions=0 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE02,LEANE02,enumerator,negative_refusal,not_derivable,true,true,easy,[],P -> Q,implicational-prop-v1,P -> Q,Mode A enumerator case: status=not_derivable assumptions=0 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE03,LEANE03,enumerator,negative_refusal,not_derivable,true,true,easy,[],P -> R,implicational-prop-v1,P -> R,Mode A enumerator case: status=not_derivable assumptions=0 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE04,LEANE04,enumerator,negative_refusal,not_derivable,true,true,easy,[],Q -> P,implicational-prop-v1,Q -> P,Mode A enumerator case: status=not_derivable assumptions=0 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE05,LEANE05,enumerator,theorem_synthesis,derivable,true,true,easy,[],Q -> Q,implicational-prop-v1,Q -> Q,Mode A enumerator case: status=derivable assumptions=0 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE06,LEANE06,enumerator,negative_refusal,not_derivable,true,true,easy,[],Q -> R,implicational-prop-v1,Q -> R,Mode A enumerator case: status=not_derivable assumptions=0 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE07,LEANE07,enumerator,negative_refusal,not_derivable,true,true,easy,[],R -> P,implicational-prop-v1,R -> P,Mode A enumerator case: status=not_derivable assumptions=0 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE08,LEANE08,enumerator,negative_refusal,not_derivable,true,true,easy,[],R -> Q,implicational-prop-v1,R -> Q,Mode A enumerator case: status=not_derivable assumptions=0 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE09,LEANE09,enumerator,theorem_synthesis,derivable,true,true,easy,[],R -> R,implicational-prop-v1,R -> R,Mode A enumerator case: status=derivable assumptions=0 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE10,LEANE10,enumerator,enumerated_candidate,derivable,true,true,medium,"[""P""]",P -> P,implicational-prop-v1,P -> (P -> P),Mode A enumerator case: status=derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE11,LEANE11,enumerator,negative_refusal,not_derivable,true,true,medium,"[""P""]",P -> Q,implicational-prop-v1,P -> (P -> Q),Mode A enumerator case: status=not_derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE12,LEANE12,enumerator,negative_refusal,not_derivable,true,true,medium,"[""P""]",P -> R,implicational-prop-v1,P -> (P -> R),Mode A enumerator case: status=not_derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE13,LEANE13,enumerator,enumerated_candidate,derivable,true,true,medium,"[""P""]",Q -> P,implicational-prop-v1,P -> (Q -> P),Mode A enumerator case: status=derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE14,LEANE14,enumerator,enumerated_candidate,derivable,true,true,medium,"[""P""]",Q -> Q,implicational-prop-v1,P -> (Q -> Q),Mode A enumerator case: status=derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE15,LEANE15,enumerator,negative_refusal,not_derivable,true,true,medium,"[""P""]",Q -> R,implicational-prop-v1,P -> (Q -> R),Mode A enumerator case: status=not_derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE16,LEANE16,enumerator,enumerated_candidate,derivable,true,true,medium,"[""P""]",R -> P,implicational-prop-v1,P -> (R -> P),Mode A enumerator case: status=derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE17,LEANE17,enumerator,negative_refusal,not_derivable,true,true,medium,"[""P""]",R -> Q,implicational-prop-v1,P -> (R -> Q),Mode A enumerator case: status=not_derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE18,LEANE18,enumerator,enumerated_candidate,derivable,true,true,medium,"[""P""]",R -> R,implicational-prop-v1,P -> (R -> R),Mode A enumerator case: status=derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE19,LEANE19,enumerator,enumerated_candidate,derivable,true,true,medium,"[""Q""]",P -> P,implicational-prop-v1,Q -> (P -> P),Mode A enumerator case: status=derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE20,LEANE20,enumerator,enumerated_candidate,derivable,true,true,medium,"[""Q""]",P -> Q,implicational-prop-v1,Q -> (P -> Q),Mode A enumerator case: status=derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE21,LEANE21,enumerator,negative_refusal,not_derivable,true,true,medium,"[""Q""]",P -> R,implicational-prop-v1,Q -> (P -> R),Mode A enumerator case: status=not_derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE22,LEANE22,enumerator,negative_refusal,not_derivable,true,true,medium,"[""Q""]",Q -> P,implicational-prop-v1,Q -> (Q -> P),Mode A enumerator case: status=not_derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE23,LEANE23,enumerator,enumerated_candidate,derivable,true,true,medium,"[""Q""]",Q -> Q,implicational-prop-v1,Q -> (Q -> Q),Mode A enumerator case: status=derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE24,LEANE24,enumerator,negative_refusal,not_derivable,true,true,medium,"[""Q""]",Q -> R,implicational-prop-v1,Q -> (Q -> R),Mode A enumerator case: status=not_derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE25,LEANE25,enumerator,negative_refusal,not_derivable,true,true,medium,"[""Q""]",R -> P,implicational-prop-v1,Q -> (R -> P),Mode A enumerator case: status=not_derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE26,LEANE26,enumerator,enumerated_candidate,derivable,true,true,medium,"[""Q""]",R -> Q,implicational-prop-v1,Q -> (R -> Q),Mode A enumerator case: status=derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE27,LEANE27,enumerator,enumerated_candidate,derivable,true,true,medium,"[""Q""]",R -> R,implicational-prop-v1,Q -> (R -> R),Mode A enumerator case: status=derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE28,LEANE28,enumerator,enumerated_candidate,derivable,true,true,medium,"[""R""]",P -> P,implicational-prop-v1,R -> (P -> P),Mode A enumerator case: status=derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE29,LEANE29,enumerator,negative_refusal,not_derivable,true,true,medium,"[""R""]",P -> Q,implicational-prop-v1,R -> (P -> Q),Mode A enumerator case: status=not_derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE30,LEANE30,enumerator,enumerated_candidate,derivable,true,true,medium,"[""R""]",P -> R,implicational-prop-v1,R -> (P -> R),Mode A enumerator case: status=derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE31,LEANE31,enumerator,negative_refusal,not_derivable,true,true,medium,"[""R""]",Q -> P,implicational-prop-v1,R -> (Q -> P),Mode A enumerator case: status=not_derivable assumptions=1 goal_depth=1 interesting=true minimal=true
enumerator_20260327t113346z,LEANE32,LEANE32,enumerator,enumerated_candidate,derivable,true,true,medium,"[""R""]",Q -> Q,implicational-prop-v1,R -> (Q -> Q),Mode A enumerator case: status=derivable assumptions=1 goal_depth=1 interesting=true minimal=true
