run_id,timestamp_utc,provider,model,llm_model,experiment_name,experiment_id,sampling_surface,requested_sampling_profile,effective_sampling_profile,requested_sampling_json,effective_sampling_json,unsupported_sampling_json,google_thinking_mode,prompt_version,certificate_version,project_folder,surface,theorem_pack_id,theorems_file,case_selector,hypothesis,theorems_path,result_file,chain_result_file,raw_dir,cases_total,pass_count,false_refusal_count,false_accept_count,request_failure_count,schema_failure_count,parse_failure_count,kernel_failure_count,format_failure_count,avg_latency_ms,max_latency_ms,run_elapsed_seconds,category_count
phase2-2026040_nd_local-compatible-gpt-oss-20b-r01,2026-04-03T04:30:28Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-temp0-seed42-topp1-r01-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-nd-v1.1,1.0.0,hilbert-ai-verification-benchmark-nd-v1,nd,pilot_shared_20260327,theorems/pilot_shared_20260327.csv,all,A Natural Deduction front-end with deterministic lowering into Hilbert certificates may improve end-to-end verified performance while preserving the Hilbert kernel as the final trust boundary.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/theorems/pilot_shared_20260327.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/result/result_bj_31f03c986a87.csv,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/raw/bj_31f03c986a87,8,5,0,0,1,2,0,0,0,12733.75,60000,102,6
phase2-2026040_nd_local-compatible-gpt-oss-20b-r02,2026-04-03T04:31:39Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-temp0-seed42-topp1-r02-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-nd-v1.1,1.0.0,hilbert-ai-verification-benchmark-nd-v1,nd,pilot_shared_20260327,theorems/pilot_shared_20260327.csv,all,A Natural Deduction front-end with deterministic lowering into Hilbert certificates may improve end-to-end verified performance while preserving the Hilbert kernel as the final trust boundary.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/theorems/pilot_shared_20260327.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/result/result_bj_48d0cfaa1b30.csv,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/raw/bj_48d0cfaa1b30,8,7,0,0,0,0,0,0,1,8792.75,30189,70,6
phase2-2026040_nd_local-compatible-gpt-oss-20b-r03,2026-04-03T04:32:50Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-temp0-seed42-topp1-r03-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-nd-v1.1,1.0.0,hilbert-ai-verification-benchmark-nd-v1,nd,pilot_shared_20260327,theorems/pilot_shared_20260327.csv,all,A Natural Deduction front-end with deterministic lowering into Hilbert certificates may improve end-to-end verified performance while preserving the Hilbert kernel as the final trust boundary.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/theorems/pilot_shared_20260327.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/result/result_bj_08093f0f4ed4.csv,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/raw/bj_08093f0f4ed4,8,7,0,0,0,0,0,0,1,8770.25,30148,70,6
phase2-2026040_nd_local-compatible-gpt-oss-20b-r04,2026-04-03T04:34:01Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-temp0-seed42-topp1-r04-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-nd-v1.1,1.0.0,hilbert-ai-verification-benchmark-nd-v1,nd,pilot_shared_20260327,theorems/pilot_shared_20260327.csv,all,A Natural Deduction front-end with deterministic lowering into Hilbert certificates may improve end-to-end verified performance while preserving the Hilbert kernel as the final trust boundary.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/theorems/pilot_shared_20260327.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/result/result_bj_244db6f49670.csv,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/raw/bj_244db6f49670,8,7,0,0,0,0,0,0,1,8744.50,30106,70,6
phase2-2026040_nd_local-compatible-gpt-oss-20b-r05,2026-04-03T04:35:12Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-temp0-seed42-topp1-r05-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-nd-v1.1,1.0.0,hilbert-ai-verification-benchmark-nd-v1,nd,pilot_shared_20260327,theorems/pilot_shared_20260327.csv,all,A Natural Deduction front-end with deterministic lowering into Hilbert certificates may improve end-to-end verified performance while preserving the Hilbert kernel as the final trust boundary.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/theorems/pilot_shared_20260327.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/result/result_bj_ace936c5092d.csv,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/raw/bj_ace936c5092d,8,7,0,0,0,0,0,0,1,8721.25,30067,69,6
phase2-2026040_nd_local-compatible-gpt-oss-20b-r06,2026-04-03T04:36:23Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-temp0-seed42-topp1-r06-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-nd-v1.1,1.0.0,hilbert-ai-verification-benchmark-nd-v1,nd,pilot_shared_20260327,theorems/pilot_shared_20260327.csv,all,A Natural Deduction front-end with deterministic lowering into Hilbert certificates may improve end-to-end verified performance while preserving the Hilbert kernel as the final trust boundary.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/theorems/pilot_shared_20260327.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/result/result_bj_2c3dd6d863f2.csv,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/raw/bj_2c3dd6d863f2,8,7,0,0,0,0,0,0,1,8750.12,30069,70,6
phase2-2026040_nd_local-compatible-gpt-oss-20b-r07,2026-04-03T04:37:37Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-temp0-seed42-topp1-r07-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-nd-v1.1,1.0.0,hilbert-ai-verification-benchmark-nd-v1,nd,pilot_shared_20260327,theorems/pilot_shared_20260327.csv,all,A Natural Deduction front-end with deterministic lowering into Hilbert certificates may improve end-to-end verified performance while preserving the Hilbert kernel as the final trust boundary.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/theorems/pilot_shared_20260327.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/result/result_bj_be2535ad84bc.csv,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/raw/bj_be2535ad84bc,8,7,0,0,0,0,0,0,1,9204.62,31277,73,6
phase2-2026040_nd_local-compatible-gpt-oss-20b-r08,2026-04-03T04:38:58Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-temp0-seed42-topp1-r08-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-nd-v1.1,1.0.0,hilbert-ai-verification-benchmark-nd-v1,nd,pilot_shared_20260327,theorems/pilot_shared_20260327.csv,all,A Natural Deduction front-end with deterministic lowering into Hilbert certificates may improve end-to-end verified performance while preserving the Hilbert kernel as the final trust boundary.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/theorems/pilot_shared_20260327.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/result/result_bj_b8030fc7ce8b.csv,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/raw/bj_b8030fc7ce8b,8,7,0,0,0,0,0,0,1,10008.00,32423,80,6
phase2-2026040_nd_local-compatible-gpt-oss-20b-r09,2026-04-03T04:40:12Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-temp0-seed42-topp1-r09-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-nd-v1.1,1.0.0,hilbert-ai-verification-benchmark-nd-v1,nd,pilot_shared_20260327,theorems/pilot_shared_20260327.csv,all,A Natural Deduction front-end with deterministic lowering into Hilbert certificates may improve end-to-end verified performance while preserving the Hilbert kernel as the final trust boundary.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/theorems/pilot_shared_20260327.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/result/result_bj_ab454d7d014d.csv,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/raw/bj_ab454d7d014d,8,7,0,0,0,0,0,0,1,9055.25,31856,72,6
phase2-2026040_nd_local-compatible-gpt-oss-20b-r10,2026-04-03T04:41:24Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-temp0-seed42-topp1-r10-20260403,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-nd-v1.1,1.0.0,hilbert-ai-verification-benchmark-nd-v1,nd,pilot_shared_20260327,theorems/pilot_shared_20260327.csv,all,A Natural Deduction front-end with deterministic lowering into Hilbert certificates may improve end-to-end verified performance while preserving the Hilbert kernel as the final trust boundary.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/theorems/pilot_shared_20260327.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/result/result_bj_97cf628c1f82.csv,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-nd-v1/raw/bj_97cf628c1f82,8,7,0,0,0,0,0,0,1,8922.75,30049,71,6
