run_id,timestamp_utc,provider,model,llm_model,experiment_name,experiment_id,sampling_surface,requested_sampling_profile,effective_sampling_profile,requested_sampling_json,effective_sampling_json,unsupported_sampling_json,google_thinking_mode,prompt_version,certificate_version,project_folder,surface,cases_file,case_selector,hypothesis,cases_path,result_file,chain_result_file,import_catalog_file,raw_dir,cases_total,pass_count,false_refusal_count,false_accept_count,request_failure_count,schema_failure_count,parse_failure_count,kernel_failure_count,contract_failure_count,format_failure_count,avg_latency_ms,max_latency_ms,run_elapsed_seconds,category_count
phase1-expanded-100-20260404-01_phase1-expanded-100-main-gpt-oss-20b-r01,2026-04-04T17:46:04Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-seed42-topp1-r01-20260404,compatible_openai_chat_completions,seed42_topp1,seed42_topp1,"{""seed"":42,""top_p"":1}","{""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/phase1-expanded-100.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/phase1-expanded-100.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_d3776bb63c12.csv,,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_d3776bb63c12,100,0,0,0,100,0,0,0,0,0,60000.20,60001,600,5
phase1-expanded-100-20260404-01_phase1-expanded-100-main-gpt-oss-20b-r02,2026-04-04T17:55:24Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-seed42-topp1-r02-20260404,compatible_openai_chat_completions,seed42_topp1,seed42_topp1,"{""seed"":42,""top_p"":1}","{""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/phase1-expanded-100.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/phase1-expanded-100.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_6f1ec18a8903.csv,,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_6f1ec18a8903,100,2,0,0,94,4,0,0,0,0,57991.00,60002,1160,5
phase1-expanded-100-20260404-01_phase1-expanded-100-main-gpt-oss-20b-r05,2026-04-04T18:06:16Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-seed42-topp1-r05-20260404,compatible_openai_chat_completions,seed42_topp1,seed42_topp1,"{""seed"":42,""top_p"":1}","{""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/phase1-expanded-100.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/phase1-expanded-100.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_b03420d3b1c3.csv,,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_b03420d3b1c3,100,0,0,0,99,1,0,0,0,0,59003.36,60002,649,5
phase1-expanded-100-20260404-01_phase1-expanded-100-main-gpt-oss-20b-r03,2026-04-04T18:07:35Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-seed42-topp1-r03-20260404,compatible_openai_chat_completions,seed42_topp1,seed42_topp1,"{""seed"":42,""top_p"":1}","{""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/phase1-expanded-100.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/phase1-expanded-100.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_24016eda1bd7.csv,,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_24016eda1bd7,100,1,0,0,95,4,0,0,0,0,59077.19,60003,1891,5
phase1-expanded-100-20260404-01_phase1-expanded-100-main-gpt-oss-20b-r06,2026-04-04T18:26:11Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-seed42-topp1-r06-20260404,compatible_openai_chat_completions,seed42_topp1,seed42_topp1,"{""seed"":42,""top_p"":1}","{""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/phase1-expanded-100.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/phase1-expanded-100.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_caa971badbff.csv,,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_caa971badbff,100,2,0,0,96,2,0,0,0,0,59632.45,60002,1193,5
phase1-expanded-100-20260404-01_phase1-expanded-100-main-gpt-oss-20b-r04,2026-04-04T18:29:49Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-seed42-topp1-r04-20260404,compatible_openai_chat_completions,seed42_topp1,seed42_topp1,"{""seed"":42,""top_p"":1}","{""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/phase1-expanded-100.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/phase1-expanded-100.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_eb6fa4734847.csv,,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_eb6fa4734847,100,3,0,0,94,3,0,0,0,0,59592.30,60002,2622,5
phase1-expanded-100-20260404-01_phase1-expanded-100-main-gpt-oss-20b-r09,2026-04-04T18:40:40Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-seed42-topp1-r09-20260404,compatible_openai_chat_completions,seed42_topp1,seed42_topp1,"{""seed"":42,""top_p"":1}","{""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/phase1-expanded-100.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/phase1-expanded-100.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_bd7aeea6e97b.csv,,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_bd7aeea6e97b,100,0,0,0,99,1,0,0,0,0,59048.91,60001,649,5
phase1-expanded-100-20260404-01_phase1-expanded-100-main-gpt-oss-20b-r07,2026-04-04T19:35:02Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-seed42-topp1-r07-20260404,compatible_openai_chat_completions,seed42_topp1,seed42_topp1,"{""seed"":42,""top_p"":1}","{""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/phase1-expanded-100.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/phase1-expanded-100.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_07d27e999eb1.csv,,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_07d27e999eb1,100,48,0,0,48,4,0,0,0,0,52447.22,60008,5245,5
phase1-expanded-100-20260404-01_phase1-expanded-100-main-gpt-oss-20b-r08,2026-04-04T19:42:23Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,formal-mode,formal-mode-seed42-topp1-r08-20260404,compatible_openai_chat_completions,seed42_topp1,seed42_topp1,"{""seed"":42,""top_p"":1}","{""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/phase1-expanded-100.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/phase1-expanded-100.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_a9e81b58d2d4.csv,,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_a9e81b58d2d4,100,53,0,0,38,9,0,0,0,0,45685.54,60003,4569,5
phase1-expanded-100-20260404-01_phase1-expanded-100-main-gpt-oss-120b-cloud-r01,2026-04-04T19:44:56Z,compatible,compatible:gpt-oss:120b-cloud,gpt-oss:120b-cloud,formal-mode,formal-mode-seed42-topp1-r01-20260404,compatible_openai_chat_completions,seed42_topp1,seed42_topp1,"{""seed"":42,""top_p"":1}","{""seed"":42,""top_p"":1}",,,hilbert-ai-verification-benchmark-v1.3,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/phase1-expanded-100.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/phase1-expanded-100.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_04172c193a2c.csv,,,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_04172c193a2c,100,90,0,0,0,10,0,0,0,0,5896.26,30781,591,5
