run_id,timestamp_utc,provider,model,llm_model,experiment_name,experiment_id,sampling_surface,requested_sampling_profile,effective_sampling_profile,requested_sampling_json,effective_sampling_json,unsupported_sampling_json,google_thinking_mode,prompt_version,certificate_version,project_folder,surface,cases_file,case_selector,hypothesis,cases_path,result_file,chain_result_file,import_catalog_file,raw_dir,cases_total,pass_count,false_refusal_count,false_accept_count,request_failure_count,schema_failure_count,parse_failure_count,kernel_failure_count,format_failure_count,avg_latency_ms,max_latency_ms,run_elapsed_seconds,category_count
bridge-only-authoring-canonical-20260404_bridge-only-authoring-main-gpt-oss-20b-r01,2026-04-04T11:44:59Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,bridge-only-authoring-canonical-v1,bridge-only-authoring-canonical-v1-temp0-seed42-topp1-r01-20260404,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-bridge-only-canonical-vars-v1.0,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/bridge-only-authoring-canonical-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/bridge-only-authoring-canonical-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_dc6ece8b051b.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_dc6ece8b051b.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_dc6ece8b051b.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_dc6ece8b051b,8,5,0,0,0,3,0,0,0,19476.12,25634,156,1
bridge-only-authoring-canonical-20260404_bridge-only-authoring-main-gpt-oss-20b-r03,2026-04-04T11:45:04Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,bridge-only-authoring-canonical-v1,bridge-only-authoring-canonical-v1-temp0-seed42-topp1-r03-20260404,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-bridge-only-canonical-vars-v1.0,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/bridge-only-authoring-canonical-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/bridge-only-authoring-canonical-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_7af64bb9f6d9.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_7af64bb9f6d9.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_7af64bb9f6d9.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_7af64bb9f6d9,8,5,0,0,0,3,0,0,0,20147.62,24218,161,1
bridge-only-authoring-canonical-20260404_bridge-only-authoring-main-gpt-oss-20b-r02,2026-04-04T11:45:10Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,bridge-only-authoring-canonical-v1,bridge-only-authoring-canonical-v1-temp0-seed42-topp1-r02-20260404,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-bridge-only-canonical-vars-v1.0,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/bridge-only-authoring-canonical-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/bridge-only-authoring-canonical-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_07d5bdd70700.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_07d5bdd70700.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_07d5bdd70700.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_07d5bdd70700,8,5,0,0,0,3,0,0,0,20819.75,24023,166,1
bridge-only-authoring-canonical-20260404_bridge-only-authoring-main-gpt-oss-120b-cloud-r01,2026-04-04T11:46:09Z,compatible,compatible:gpt-oss:120b-cloud,gpt-oss:120b-cloud,bridge-only-authoring-canonical-v1,bridge-only-authoring-canonical-v1-temp0-seed42-topp1-r01-20260404,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-bridge-only-canonical-vars-v1.0,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/bridge-only-authoring-canonical-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/bridge-only-authoring-canonical-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_19f9bdf3cfbc.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_19f9bdf3cfbc.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_19f9bdf3cfbc.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_19f9bdf3cfbc,8,8,0,0,0,0,0,0,0,7250.38,9038,58,1
bridge-only-authoring-canonical-20260404_bridge-only-authoring-main-gpt-oss-20b-r04,2026-04-04T11:46:49Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,bridge-only-authoring-canonical-v1,bridge-only-authoring-canonical-v1-temp0-seed42-topp1-r04-20260404,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-bridge-only-canonical-vars-v1.0,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/bridge-only-authoring-canonical-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/bridge-only-authoring-canonical-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_7d17091a70dc.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_7d17091a70dc.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_7d17091a70dc.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_7d17091a70dc,8,5,0,0,0,3,0,0,0,13609.62,17452,109,1
bridge-only-authoring-canonical-20260404_bridge-only-authoring-main-gpt-oss-20b-r05,2026-04-04T11:46:54Z,compatible,compatible:gpt-oss:20b,gpt-oss:20b,bridge-only-authoring-canonical-v1,bridge-only-authoring-canonical-v1-temp0-seed42-topp1-r05-20260404,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-bridge-only-canonical-vars-v1.0,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/bridge-only-authoring-canonical-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/bridge-only-authoring-canonical-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_f830cae22be3.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_f830cae22be3.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_f830cae22be3.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_f830cae22be3,8,5,0,0,0,3,0,0,0,13612.62,17036,109,1
bridge-only-authoring-canonical-20260404_bridge-only-authoring-main-gpt-oss-120b-cloud-r02,2026-04-04T11:47:10Z,compatible,compatible:gpt-oss:120b-cloud,gpt-oss:120b-cloud,bridge-only-authoring-canonical-v1,bridge-only-authoring-canonical-v1-temp0-seed42-topp1-r02-20260404,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-bridge-only-canonical-vars-v1.0,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/bridge-only-authoring-canonical-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/bridge-only-authoring-canonical-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_7efeeffc720e.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_7efeeffc720e.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_7efeeffc720e.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_7efeeffc720e,8,7,0,0,0,1,0,0,0,7488.38,9302,60,1
bridge-only-authoring-canonical-20260404_bridge-only-authoring-main-gpt-oss-120b-cloud-r03,2026-04-04T11:47:46Z,compatible,compatible:gpt-oss:120b-cloud,gpt-oss:120b-cloud,bridge-only-authoring-canonical-v1,bridge-only-authoring-canonical-v1-temp0-seed42-topp1-r03-20260404,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-bridge-only-canonical-vars-v1.0,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/bridge-only-authoring-canonical-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/bridge-only-authoring-canonical-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_d103da14a9ab.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_d103da14a9ab.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_d103da14a9ab.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_d103da14a9ab,8,6,0,0,0,2,0,0,0,6988.00,9633,56,1
bridge-only-authoring-canonical-20260404_bridge-only-authoring-main-gpt-oss-120b-cloud-r04,2026-04-04T11:47:53Z,compatible,compatible:gpt-oss:120b-cloud,gpt-oss:120b-cloud,bridge-only-authoring-canonical-v1,bridge-only-authoring-canonical-v1-temp0-seed42-topp1-r04-20260404,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-bridge-only-canonical-vars-v1.0,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/bridge-only-authoring-canonical-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/bridge-only-authoring-canonical-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_c7676250a242.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_c7676250a242.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_c7676250a242.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_c7676250a242,8,8,0,0,0,0,0,0,0,7275.38,10181,58,1
bridge-only-authoring-canonical-20260404_bridge-only-authoring-main-gpt-oss-120b-cloud-r05,2026-04-04T11:48:15Z,compatible,compatible:gpt-oss:120b-cloud,gpt-oss:120b-cloud,bridge-only-authoring-canonical-v1,bridge-only-authoring-canonical-v1-temp0-seed42-topp1-r05-20260404,compatible_openai_chat_completions,temp0_seed42_topp1,temp0_seed42_topp1,"{""temperature"":0,""seed"":42,""top_p"":1}","{""temperature"":0,""seed"":42,""top_p"":1}",,,hilbert-ai-verification-bridge-only-canonical-vars-v1.0,1.0.0,hilbert-ai-verification-benchmark-v2-held-out,direct,cases/bridge-only-authoring-canonical-phase1.csv,all,A minimal Hilbert-style certificate kernel can serve as a useful trust boundary for a formalizable subset of AI-assisted reasoning outputs.,C:/Users/nokclock/Documents/GitHub/collabsphere/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/cases/bridge-only-authoring-canonical-phase1.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/result_bj_49dc6ebbd09e.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/chain_result_bj_49dc6ebbd09e.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/result/imported_certificate_catalog_bj_49dc6ebbd09e.csv,C:/Users/nokclock/Documents/GitHub/llm-verifyier/research/artifacts/hilbert-ai-verification-benchmark-v2-held-out/raw/bj_49dc6ebbd09e,8,8,0,0,0,0,0,0,0,8040.25,14908,64,1
